date,county,diseases,diagnosis,species,disease_value
2021-04-01,Nairobi,Brucellosis,Clinically confirmed,Human,316
2021-04-01,Nairobi,Anthrax,Clinically confirmed,Human,66
2021-04-01,Nairobi,Brucellosis,Lab confirmed,Human,716
2021-04-01,Nakuru,Brucellosis,Clinically confirmed,Human,683
2021-04-01,Nakuru,Brucellosis,Lab confirmed,Human,2602
2021-04-01,Nandi,Brucellosis,Clinically confirmed,Human,577
2021-04-01,Nandi,Anthrax,Clinically confirmed,Human,12
2021-04-01,Nandi,Brucellosis,Lab confirmed,Human,1221
2021-04-01,Narok,Brucellosis,Clinically confirmed,Human,274
2021-04-01,Narok,Rvf,Clinically confirmed,Human,1
2021-04-01,Narok,Brucellosis,Lab confirmed,Human,1648
2021-04-01,Nyamira,Brucellosis,Clinically confirmed,Human,276
2021-04-01,Nyamira,Brucellosis,Lab confirmed,Human,981
2021-04-01,Nyandarua,Brucellosis,Clinically confirmed,Human,155
2021-04-01,Nyandarua,Brucellosis,Lab confirmed,Human,571
2021-04-01,Nyeri,Brucellosis,Clinically confirmed,Human,1
2021-04-01,Nyeri,Brucellosis,Lab confirmed,Human,141
2021-04-01,Samburu,Brucellosis,Clinically confirmed,Human,95
2021-04-01,Samburu,Brucellosis,Lab confirmed,Human,437
2021-04-01,Siaya,Brucellosis,Clinically confirmed,Human,60
2021-04-01,Siaya,Brucellosis,Lab confirmed,Human,237
2021-04-01,Taita Taveta,Brucellosis,Clinically confirmed,Human,13
2021-04-01,Taita Taveta,Brucellosis,Lab confirmed,Human,66
2021-04-01,Tana River,Brucellosis,Clinically confirmed,Human,6
2021-04-01,Tana River,Brucellosis,Lab confirmed,Human,27
2021-04-01,Tharaka Nithi,Brucellosis,Clinically confirmed,Human,163
2021-04-01,Tharaka Nithi,Brucellosis,Lab confirmed,Human,589
2021-04-01,Trans Nzoia,Brucellosis,Clinically confirmed,Human,581
2021-04-01,Trans Nzoia,Brucellosis,Lab confirmed,Human,2336
2021-04-01,Turkana,Brucellosis,Clinically confirmed,Human,228
2021-04-01,Turkana,Brucellosis,Lab confirmed,Human,857
2021-04-01,Uasin Gishu,Brucellosis,Clinically confirmed,Human,479
2021-04-01,Uasin Gishu,Brucellosis,Lab confirmed,Human,2018
2021-04-01,Vihiga,Brucellosis,Clinically confirmed,Human,65
2021-04-01,Vihiga,Anthrax,Clinically confirmed,Human,1
2021-04-01,Vihiga,Brucellosis,Lab confirmed,Human,373
