periodid,periodname,periodcode,perioddescription,organisationunitid,organisationunitname,organisationunitcode,organisationunitdescription,MOH 706_Brucella,Brucellosis
202305,May 2023,202305,,BjC1xL40gHo,Kakamega County,KE_County_37,,779,105
202305,May 2023,202305,,ihZsJ8alvtb,Kericho County,KE_County_35,,2043,363
202305,May 2023,202305,,qKzosKQPl6G,Kiambu County,KE_County_22,,315,31
202305,May 2023,202305,,nrI2khZx3d0,Kilifi County,KE_County_3,,5,71
202305,May 2023,202305,,Ulj33KBau7V,Kirinyaga County,KE_County_20,,113,28
202305,May 2023,202305,,sPkRcDvhGWA,Kisii County,KE_County_45,,4499,643
202305,May 2023,202305,,tAbBVBbueqD,Kisumu County,KE_County_42,,710,139
202305,May 2023,202305,,j8o6iO4Njsi,Kitui County,KE_County_15,,464,133
202305,May 2023,202305,,N7YETT3A9r1,Kwale County,KE_County_2,,0,16
202305,May 2023,202305,,xuFdFy6t9AH,Laikipia County,KE_County_31,,114,60
202305,May 2023,202305,,NjWSbQTwys4,Lamu County,KE_County_5,,8,8
202305,May 2023,202305,,yhCUgGcCcOo,Machakos County,KE_County_16,,231,46
202305,May 2023,202305,,BoDytkJQ4Qi,Makueni County,KE_County_17,,142,37
202305,May 2023,202305,,R6f9znhg37c,Mandera County,KE_County_9,,521,33
202305,May 2023,202305,,Eey8fT4Im3y,Marsabit County,KE_County_10,,346,187
202305,May 2023,202305,,Y52XNJ50hYb,Meru County,KE_County_12,,104,129
202305,May 2023,202305,,fVra3Pwta0Q,Migori County,KE_County_44,,1397,415
202305,May 2023,202305,,wsBsC6gjHvn,Mombasa County,KE_County_1,,5,
202305,May 2023,202305,,ahwTMNAJvrL,Muranga County,KE_County_21,,27,11
202305,May 2023,202305,,jkG3zaihdSs,Nairobi County,KE_County_47,,1034,138
202305,May 2023,202305,,ob6SxuRcqU4,Nakuru County,KE_County_32,,2121,644
202305,May 2023,202305,,t0J75eHKxz5,Nandi County,KE_County_29,,1518,502
202305,May 2023,202305,,kqJ83J2D72s,Narok County,KE_County_33,,1433,686
202305,May 2023,202305,,uepLTG8wGWJ,Nyamira County,KE_County_46,,755,208
202305,May 2023,202305,,mYZacFNIB3h,Nyandarua County,KE_County_18,,304,31
202305,May 2023,202305,,ptWVfaCIdVx,Nyeri County,KE_County_19,,102,
202305,May 2023,202305,,o36zCRjSd4G,Samburu County,KE_County_25,,483,84
202305,May 2023,202305,,u4t9H8XyU9P,Siaya County,KE_County_41,,610,81
202305,May 2023,202305,,QyGNX2DpR4h,Taita Taveta County,KE_County_6,,89,15
202305,May 2023,202305,,JsH2bnvNt2d,Tana River County,KE_County_4,,136,27
202305,May 2023,202305,,T4urHM47nlm,Tharaka Nithi County,KE_County_13,,567,59
202305,May 2023,202305,,mThvosEflAU,Trans Nzoia County,KE_County_26,,2084,463
202305,May 2023,202305,,kphDeKClFch,Turkana County,KE_County_23,,994,319
202305,May 2023,202305,,pZqQRRW7PHP,Uasin Gishu County,KE_County_27,,1665,440
202305,May 2023,202305,,sANMZ3lpqGs,Vihiga County,KE_County_38,,231,77
202305,May 2023,202305,,CeLsrJOH0g9,Wajir County,KE_County_8,,605,35
